2024-11-25 23:32:10, Sensor Value: 83
2024-11-25 23:32:11, Sensor Value: 86
2024-11-25 23:32:12, Sensor Value: 77
2024-11-25 23:32:13, Sensor Value: 15
2024-11-25 23:32:14, Sensor Value: 93
2024-11-25 23:32:15, Sensor Value: 35
2024-11-25 23:32:16, Sensor Value: 86
2024-11-25 23:32:17, Sensor Value: 92
2024-11-25 23:32:18, Sensor Value: 49
2024-11-25 23:32:19, Sensor Value: 21
2024-11-25 23:32:20, Sensor Value: 62
2024-11-25 23:32:21, Sensor Value: 27
2024-11-25 23:32:22, Sensor Value: 90
2024-11-25 23:32:23, Sensor Value: 59
2024-11-25 23:32:24, Sensor Value: 63
2024-11-25 23:32:25, Sensor Value: 26
2024-11-25 23:32:26, Sensor Value: 40
2024-11-25 23:32:27, Sensor Value: 26
2024-11-25 23:32:28, Sensor Value: 72
2024-11-25 23:32:29, Sensor Value: 36
2024-11-25 23:32:30, Sensor Value: 11
2024-11-25 23:41:38, Sensor Value: 83
2024-11-25 23:41:39, Sensor Value: 86
2024-11-25 23:41:40, Sensor Value: 77
2024-11-25 23:41:41, Sensor Value: 15
2024-11-25 23:41:42, Sensor Value: 93
2024-11-25 23:41:43, Sensor Value: 35
2024-11-25 23:41:44, Sensor Value: 86
2024-11-25 23:41:45, Sensor Value: 92
2024-11-25 23:41:46, Sensor Value: 49
2024-11-25 23:41:47, Sensor Value: 21
2024-11-25 23:41:48, Sensor Value: 62
2024-11-25 23:41:49, Sensor Value: 27
2024-11-25 23:41:50, Sensor Value: 90
2024-11-25 23:41:51, Sensor Value: 59
2024-11-25 23:41:52, Sensor Value: 63
2024-11-25 23:41:53, Sensor Value: 26
2024-11-25 23:41:54, Sensor Value: 40
2024-11-25 23:41:55, Sensor Value: 26
2024-11-25 23:41:56, Sensor Value: 72
2024-11-25 23:41:57, Sensor Value: 36
